UnitID,Institution Name,Institution (entity) name (HD2020),Institution name alias (HD2020),Street address or post office box (HD2020),City location of institution (HD2020),State abbreviation (HD2020),ZIP code (HD2020),Name of chief administrator (HD2020),Title of chief administrator (HD2020),General information telephone number (HD2020),Institution's internet website address (HD2020),Financial aid office web address (HD2020),Admissions office web address (HD2020),Online application web address (HD2020),Net price calculator web address (HD2020),Veterans and Military Servicemembers tuition policies web address (HD2020),Student-Right-to-Know student athlete graduation rate web address (HD2020),Disability Services Web Address (HD2020),Employer Identification Number (HD2020),Dun and Bradstreet numbers (HD2020),OPE Title IV eligibility indicator code (HD2020),Office of Postsecondary Education (OPE) ID Number (HD2020),Multi-institution or multi-campus organization (HD2020),Identification number of multi-institution or multi-campus organization (HD2020),Name of multi-institution or multi-campus organization (HD2020),Fips County code (HD2020),County name (HD2020),State and 116TH Congressional District ID (HD2020),Core Based Statistical Area (CBSA) (HD2020),CBSA Type Metropolitan or Micropolitan (HD2020),Combined Statistical Area (CSA) (HD2020),New England City and Town Area (NECTA) (HD2020),Longitude location of institution (HD2020),Latitude location of institution (HD2020),Institution open to the general public (HD2020),Status of institution (HD2020),UNITID for merged schools (HD2020),Year institution was deleted from IPEDS (HD2020),Date institution closed (HD2020),Institution is active in current year (HD2020),Primarily postsecondary indicator (HD2020),Postsecondary institution indicator (HD2020),Calendar system (IC2020),Years of college-level work required (IC2020),Natural Disaster identification (FLAGS2020)
493868,A Better U Beauty Barber Academy,A Better U Beauty Barber Academy, ,5400 Phoenix Ave NE Suite 105,Albuquerque,NM,87110,Patrick Jenkins,Director,5052654777,https://abuacademy.com/,https://abuacademy.com/financial-aid/,https://abuacademy.com/programs/request-more-information/,https://abuacademy.com/programs/request-more-information/,https://abuacademy.com/financial-aid/,https://abuacademy.com/wp-content/uploads/2021/04/A-Better-U-Beauty-Barber-Academy-2021-2022-Catalog-1.pdf, ,https://abuacademy.com/wp-content/uploads/2021/04/A-Better-U-Beauty-Barber-Academy-2021-2022-Catalog-1.pdf,461381031, ,1,4283300,2,-2,-2,35001,Bernalillo County,3501,10740,1,106,-2,-106.583765,35.11063,1,N,-2,-2,-2,1,1,1,6,-2,0
180203,Aaniiih Nakoda College,Aaniiih Nakoda College, ,269 Blackfeet Avenue Agency,Harlem,MT,59526,Dr. Sean Chandler,President,4.06353E+13,www.ancollege.edu/, , , ,www.ancollege.edu/student_services/financial_aid/npc/npcalc.htm, , ,www.ancollege.edu/,810420980,144176575,1,2517500,2,-2,-2,30005,Blaine County,3000,-2,-2,-2,-2,-108.757816,48.484196,1,A,-2,-2,-2,1,1,1,1,2,0
491464,ABC Adult School,ABC Adult School, ,12254 Cuesta Drive,Cerritos,CA,90703-2801,PaoLing Guo,Principal,5622297960,https://www.abcadultschool.edu/,www.abcadultschool.com/,www.abcadultschool.edu/,www.abcadultschool.com/,https://www.abcadultschool.edu/financialaid/,https://www.abcadultschool.edu/financialaid, ,https://www.abcadultschool.edu/financialaid,952380644,191602036,1,4227000,2,-2,-2,6037,Los Angeles County,638,31080,1,348,-2,-118.070114,33.878179,1,A,-2,-2,-2,1,1,1,6,-2,0
459523,ABC Beauty Academy,ABC Beauty Academy, ,2109 Buckingham Rd.,Richardson,TX,75081,Kaler Nguyen,Administrator,4698720889,www.abcbeautyacademy.webs.com/, , , ,www.abcbeauty.org/NetPrice/npcalc.htm, ,www.abcbeautyacademy.webs.com/Combined 2015 Outcome Rates for.pdf,www.abcbeautyacademy.webs.com/Students with Disabilities.pdf,352540931,362100179,1,4168800,2,-2,-2,48113,Dallas County,4832,19100,1,206,-2,-96.685333,32.931698,1,A,-2,-2,-2,1,1,1,6,-2,0
485500,ABCO Technology,ABCO Technology, ,11222 S. La Cienega Blvd Ste 588,Inglewood,CA,90304-1551,Arif H. Sayed,School Director,3102163067,www.abcotechnology.edu/,www.abcotechnology.edu/financial-aid,www.abcotechnology.edu/admissions,www.abcotechnology.edu/apply-online,www.abcotechnology.edu/disclosures/NPC,www.abcotechnology.edu/veterans.php,www.abcotechnology.edu/,www.abcotechnology.edu/,731676835,783766780,1,4242600,2,-2,-2,6037,Los Angeles County,643,31080,1,348,-2,-118.369774,33.932121,1,A,-2,-2,-2,1,1,1,6,-2,0
461892,Abcott Institute,Abcott Institute, ,16250 Northland Drive  Suite 205,Southfield,MI,48075-5227,Arvinder K. Singh,President,2.48441E+12,www.abcott.edu/,www.abcott.edu/,www.abcott.edu/, ,abcott.edu/npcalc/npcalc.htm,www.abcott.edu/financial-aid/, ,www.abcott.edu/,30479069,121154566,1,4183300,2,-2,-2,26125,Oakland County,2614,19820,1,220,-2,-83.210617,42.446331,1,A,-2,-2,-2,1,1,1,7,-2,0
222178,Abilene Christian University,Abilene Christian University, , ,Abilene,TX,79699,Dr. Phil Schubert,President,3256742000,www.acu.edu/,www.acu.edu/campusoffices/sfs/index.html,www.acu.edu/admissions,www.acuadmissions.org/start/apply.htm,https://www.collegeforalltexans.com/apps/CollegeMoney/index.php,www.acu.edu/community/offices/administrative/office-of-veterans-affairs/overview.html,www.acu.edu/about/consumer-information.html,acu.edu/alpha,750851900,73171951,1,353700,2,-2,-2,48441,Taylor County,4819,10180,1,-2,-2,-99.709797,32.468943,1,A,-2,-2,-2,1,1,1,1,-2,0
138558,Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,ABAC,2802 Moore Hwy,Tifton,GA,31793-2601,David C. Bridges,President,2293915001,https://www.abac.edu/,https://www.abac.edu/funding/financial-aid/,https://www.abac.edu/admissions/,https://gafutures.xap.com/applications/usg/usg_common_app_short/introduction.asp?application_id=3374,apps.abac.edu/npc/2017-2018/,https://www.abac.edu/funding/student-accounts/veterans-affairs/, ,https://www.abac.edu/campus-life/student-development/,586002072,781970942,1,154100,1,113020,University System of Georgia                                                    ,13277,Tift County,1308,45700,2,-2,-2,-83.528281,31.481889,1,A,-2,-2,-2,1,1,1,1,-2,0
488031,Abraham Lincoln University,Abraham Lincoln University, ,100 West Broadway  Suite 600,Glendale,CA,91210,Leslie Gargiulo,Chief Executive Officer,2132525100,https://www.alu.edu/,https://www.alu.edu/alu-admissions/federal-financial-aid/,https://www.alu.edu/,https://www.alu.edu/apply/,https://www.alu.edu/npcalc/index.html,www.alu.edu/military, ,https://www.alu.edu/alu-admissions/consumer-information/,954591138,69285513,1,4243800,2,-2,-2,6037,Los Angeles County,628,31080,1,348,-2,-118.256726,34.146294,1,A,-2,-2,-2,1,1,1,1,-2,0
421896,Academia Serrant Inc,Academia Serrant Inc,Academia Serrant,7033 Mendez Vigo,Ponce,PR,00717-1250,Yanira Pacheco Serrant,Director of Operations,7872594900,www.serrant.edu/,www.serrant.edu/serviciosalestudiante-asistenciaeconomica.htm,www.serrant.edu/admisiones.htm,www.serrant.edu/admisiones-solicituddeadmision.htm,www.serrant.edu/serviciosalestudiante-netcalculator.htm,serrant.edu/pdf/catalogo-institucional.pdf,serrant.edu/pdf/reporte-de-estadisticas-de-graduacion.pdf,serrant.edu/pdf/catalogo-institucional.pdf,660497406,966712077,1,3122500,2,-2,-2,72113,Ponce Municipio,7298,38660,1,434,-2,-66.61529,18.009658,1,A,-2,-2,-2,1,1,1,7,-2,0
