LDNS,Hostname,RTT
71.10.216.1,google.com,85
71.10.216.1,google.com,86
71.10.216.1,google.com,80
71.10.216.1,google.com,91
71.10.216.1,google.com,74
71.10.216.1,google.com,81
71.10.216.1,google.com,81
71.10.216.1,google.com,48
71.10.216.1,google.com,45
71.10.216.1,google.com,45
71.10.216.1,youtube.com,88
71.10.216.1,youtube.com,75
71.10.216.1,youtube.com,69
71.10.216.1,youtube.com,68
71.10.216.1,youtube.com,80
71.10.216.1,youtube.com,83
71.10.216.1,youtube.com,45
71.10.216.1,youtube.com,80
71.10.216.1,youtube.com,82
71.10.216.1,youtube.com,97
71.10.216.1,microsoft.com,68
71.10.216.1,microsoft.com,55
71.10.216.1,microsoft.com,56
71.10.216.1,microsoft.com,67
71.10.216.1,microsoft.com,46
71.10.216.1,microsoft.com,56
71.10.216.1,microsoft.com,48
71.10.216.1,microsoft.com,54
71.10.216.1,microsoft.com,68
71.10.216.1,microsoft.com,49
71.10.216.1,facebook.com,63
71.10.216.1,facebook.com,81
71.10.216.1,facebook.com,96
71.10.216.1,facebook.com,82
71.10.216.1,facebook.com,45
71.10.216.1,facebook.com,47
71.10.216.1,facebook.com,55
71.10.216.1,facebook.com,98
71.10.216.1,facebook.com,58
71.10.216.1,facebook.com,53
71.10.216.1,github.com,92
71.10.216.1,github.com,94
71.10.216.1,github.com,88
71.10.216.1,github.com,55
71.10.216.1,github.com,53
71.10.216.1,github.com,56
71.10.216.1,github.com,53
71.10.216.1,github.com,48
71.10.216.1,github.com,47
71.10.216.1,github.com,58
71.10.216.1,slack.com,56
71.10.216.1,slack.com,95
71.10.216.1,slack.com,90
71.10.216.1,slack.com,56
71.10.216.1,slack.com,57
71.10.216.1,slack.com,49
71.10.216.1,slack.com,93
71.10.216.1,slack.com,47
71.10.216.1,slack.com,54
71.10.216.1,slack.com,48
71.10.216.1,zoom.us,88
71.10.216.1,zoom.us,47
71.10.216.1,zoom.us,97
71.10.216.1,zoom.us,87
71.10.216.1,zoom.us,87
71.10.216.1,zoom.us,88
71.10.216.1,zoom.us,48
71.10.216.1,zoom.us,96
71.10.216.1,zoom.us,47
71.10.216.1,zoom.us,88
71.10.216.1,canva.com,52
71.10.216.1,canva.com,65
71.10.216.1,canva.com,54
71.10.216.1,canva.com,63
71.10.216.1,canva.com,50
71.10.216.1,canva.com,59
71.10.216.1,canva.com,53
71.10.216.1,canva.com,50
71.10.216.1,canva.com,47
71.10.216.1,canva.com,47
71.10.216.2,google.com,90
71.10.216.2,google.com,84
71.10.216.2,google.com,85
71.10.216.2,google.com,87
71.10.216.2,google.com,55
71.10.216.2,google.com,54
71.10.216.2,google.com,59
71.10.216.2,google.com,52
71.10.216.2,google.com,89
71.10.216.2,google.com,99
71.10.216.2,youtube.com,129
71.10.216.2,youtube.com,84
71.10.216.2,youtube.com,104
71.10.216.2,youtube.com,49
71.10.216.2,youtube.com,53
71.10.216.2,youtube.com,94
71.10.216.2,youtube.com,103
71.10.216.2,youtube.com,87
71.10.216.2,youtube.com,55
71.10.216.2,youtube.com,55
71.10.216.2,microsoft.com,77
71.10.216.2,microsoft.com,78
71.10.216.2,microsoft.com,54
71.10.216.2,microsoft.com,74
71.10.216.2,microsoft.com,76
71.10.216.2,microsoft.com,71
71.10.216.2,microsoft.com,67
71.10.216.2,microsoft.com,55
71.10.216.2,microsoft.com,69
71.10.216.2,microsoft.com,53
71.10.216.2,facebook.com,89
71.10.216.2,facebook.com,91
71.10.216.2,facebook.com,92
71.10.216.2,facebook.com,69
71.10.216.2,facebook.com,116
71.10.216.2,facebook.com,50
71.10.216.2,facebook.com,89
71.10.216.2,facebook.com,54
71.10.216.2,facebook.com,54
71.10.216.2,facebook.com,71
71.10.216.2,github.com,68
71.10.216.2,github.com,148
71.10.216.2,github.com,72
71.10.216.2,github.com,71
71.10.216.2,github.com,65
71.10.216.2,github.com,74
71.10.216.2,github.com,52
71.10.216.2,github.com,55
71.10.216.2,github.com,170
71.10.216.2,github.com,56
71.10.216.2,slack.com,59
71.10.216.2,slack.com,60
71.10.216.2,slack.com,66
71.10.216.2,slack.com,61
71.10.216.2,slack.com,67
71.10.216.2,slack.com,64
