LDNS,Hostname,ADNS_RTT,LDNS_RTT
84.236.142.130,slack.com,375.0,241.0
84.236.142.130,canva.com,246.0,308.0
209.18.47.62,microsoft.com,63.0,39.0
64.233.217.2,slack.com,50.0,45.0
64.233.217.2,facebook.com,73.0,42.0
212.230.255.129,slack.com,137.0,168.0
84.236.142.130,slack.com,,226.0
71.10.216.2,canva.com,42.0,33.0
212.230.255.129,slack.com,120.0,166.0
212.230.255.1,github.com,162.0,107.0
71.10.216.2,youtube.com,45.0,34.0
212.230.255.129,google.com,132.0,196.0
212.230.255.129,github.com,188.0,164.0
209.18.47.62,microsoft.com,63.0,33.0
209.18.47.62,canva.com,49.0,31.0
64.233.217.2,github.com,50.0,40.0
64.233.217.2,microsoft.com,51.0,40.0
71.10.216.1,facebook.com,82.0,46.0
64.233.217.3,slack.com,53.0,79.0
64.233.217.3,canva.com,56.0,42.0
64.233.207.16,facebook.com,44.0,41.0
64.233.207.2,canva.com,44.0,41.0
84.236.142.130,github.com,352.0,421.0
64.233.217.3,google.com,59.0,41.0
209.18.47.61,youtube.com,124.0,66.0
212.230.255.1,github.com,163.0,165.0
212.230.255.129,github.com,182.0,172.0
64.233.207.2,facebook.com,41.0,42.0
209.18.47.61,slack.com,219.0,61.0
64.233.207.2,slack.com,40.0,42.0
212.230.255.129,zoom.us,124.0,106.0
209.18.47.62,youtube.com,44.0,31.0
64.233.207.2,zoom.us,40.0,39.0
212.230.255.129,microsoft.com,116.0,165.0
64.233.217.2,zoom.us,48.0,43.0
84.236.142.130,github.com,184.0,612.0
64.233.207.2,google.com,57.0,38.0
212.230.255.1,zoom.us,119.0,184.0
64.233.217.2,github.com,120.0,51.0
64.233.217.3,github.com,50.0,42.0
71.10.216.2,google.com,40.0,33.0
71.10.216.2,canva.com,47.0,30.0
209.18.47.61,canva.com,65.0,64.0
84.236.142.130,facebook.com,207.0,271.0
64.233.207.16,microsoft.com,41.0,40.0
212.230.255.129,zoom.us,242.0,110.0
212.230.255.129,github.com,150.0,184.0
64.233.217.2,facebook.com,62.0,45.0
64.233.217.3,slack.com,61.0,43.0
64.233.207.2,canva.com,44.0,39.0
212.230.255.129,zoom.us,177.0,170.0
71.10.216.2,microsoft.com,65.0,32.0
209.18.47.61,zoom.us,218.0,61.0
64.233.217.2,zoom.us,58.0,41.0
71.10.216.2,google.com,44.0,32.0
71.10.216.2,canva.com,52.0,31.0
71.10.216.1,github.com,88.0,46.0
71.10.216.1,zoom.us,77.0,45.0
64.233.217.3,github.com,53.0,42.0
209.18.47.61,canva.com,74.0,66.0
64.233.217.2,microsoft.com,71.0,46.0
64.233.217.2,zoom.us,49.0,42.0
84.236.142.130,microsoft.com,269.0,267.0
71.10.216.2,microsoft.com,68.0,33.0
64.233.217.2,canva.com,62.0,43.0
64.233.207.2,slack.com,43.0,40.0
64.233.207.2,microsoft.com,50.0,41.0
209.18.47.61,github.com,143.0,64.0
71.10.216.1,slack.com,55.0,49.0
71.10.216.2,github.com,57.0,47.0
209.18.47.62,google.com,46.0,33.0
212.230.255.129,google.com,260.0,119.0
64.233.217.2,slack.com,58.0,195.0
84.236.142.130,zoom.us,216.0,285.0
212.230.255.1,github.com,161.0,172.0
209.18.47.62,youtube.com,47.0,33.0
64.233.207.16,microsoft.com,41.0,38.0
209.18.47.61,youtube.com,110.0,61.0
71.10.216.1,youtube.com,80.0,46.0
64.233.217.3,facebook.com,54.0,41.0
212.230.255.1,github.com,196.0,157.0
212.230.255.129,zoom.us,162.0,104.0
212.230.255.1,google.com,232.0,163.0
84.236.142.130,github.com,610.0,237.0
84.236.142.130,microsoft.com,,232.0
209.18.47.61,github.com,181.0,65.0
64.233.207.2,zoom.us,43.0,39.0
71.10.216.2,github.com,45.0,31.0
84.236.142.130,zoom.us,370.0,389.0
64.233.217.2,microsoft.com,51.0,42.0
64.233.207.2,facebook.com,51.0,40.0
64.233.217.2,youtube.com,89.0,40.0
209.18.47.61,facebook.com,216.0,64.0
212.230.255.1,facebook.com,160.0,107.0
84.236.142.130,slack.com,333.0,301.0
64.233.217.3,google.com,60.0,40.0
64.233.207.2,microsoft.com,45.0,44.0
64.233.207.16,microsoft.com,43.0,45.0
212.230.255.129,slack.com,183.0,160.0
64.233.217.3,github.com,49.0,41.0
71.10.216.1,microsoft.com,67.0,49.0
209.18.47.62,facebook.com,39.0,30.0
212.230.255.129,microsoft.com,106.0,198.0
209.18.47.61,github.com,79.0,60.0
71.10.216.2,canva.com,44.0,32.0
84.236.142.130,google.com,327.0,285.0
64.233.207.16,github.com,42.0,39.0
64.233.207.16,youtube.com,60.0,39.0
64.233.207.16,canva.com,42.0,39.0
84.236.142.130,youtube.com,396.0,
64.233.217.3,zoom.us,50.0,43.0
64.233.217.3,canva.com,50.0,42.0
212.230.255.1,slack.com,181.0,163.0
